train.count:43268627|#timestamp:1625618740069
train.count:34843099|#timestamp:1625618740104
train.count:33984729|#timestamp:1625618740138
train.count:29682759|#timestamp:1625618740167
train.count:26503993|#timestamp:1625618740194
train.count:26489155|#timestamp:1625618740220
train.count:31457395|#timestamp:1625618740252
train.count:27263037|#timestamp:1625618740279
train.count:26885258|#timestamp:1625618740306
train.count:26109308|#timestamp:1625618740332
train.count:26238908|#timestamp:1625618740358
train.count:25614118|#timestamp:1625618740384
train.count:28265507|#timestamp:1625618740412
train.count:22228759|#timestamp:1625618740434
train.count:28233591|#timestamp:1625618740463
train.count:27237759|#timestamp:1625618740490
train.count:24803896|#timestamp:1625618740515
train.count:24978691|#timestamp:1625618740540
train.count:21289473|#timestamp:1625618740561
train.count:20469953|#timestamp:1625618740581
train.count:20187156|#timestamp:1625618740602
train.count:26537869|#timestamp:1625618740628
train.count:25279221|#timestamp:1625618740653
train.count:27424751|#timestamp:1625618740681
train.count:26132537|#timestamp:1625618740707
train.count:26714801|#timestamp:1625618740734
train.count:28976272|#timestamp:1625618740763
train.count:27914781|#timestamp:1625618740791
train.count:25402542|#timestamp:1625618740816
train.count:27068050|#timestamp:1625618740843
train.count:25106321|#timestamp:1625618740868
train.count:25988640|#timestamp:1625618740894
train.count:27977426|#timestamp:1625618740922
train.count:25701368|#timestamp:1625618740948
train.count:26930908|#timestamp:1625618740975
train.count:24920253|#timestamp:1625618741000
train.count:22683642|#timestamp:1625618741022
train.count:25151027|#timestamp:1625618741048
train.count:24755312|#timestamp:1625618741072
train.count:26255619|#timestamp:1625618741099
train.count:22148871|#timestamp:1625618741121
train.count:24952895|#timestamp:1625618741146
train.count:20033164|#timestamp:1625618741166
train.count:19102571|#timestamp:1625618741185
train.count:17150760|#timestamp:1625618741202
train.count:17190965|#timestamp:1625618741219
train.count:19038675|#timestamp:1625618741238
train.count:20019618|#timestamp:1625618741258
train.count:18313904|#timestamp:1625618741277
train.count:18089135|#timestamp:1625618741295
train.count:17427164|#timestamp:1625618741312
train.count:16994378|#timestamp:1625618741329
